matrix,rows,cols,nnz,density,v1_passed,v2_passed,v1_error,v2_error,v1_time_ms,v2_time_ms,cpu_time_ms
bcspwr01.mtx,39,39,85,5.588429e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
arrow.mtx,100,100,298,2.980000e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
LFAT5.mtx,14,14,30,1.530612e-01,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
lp_e226.mtx,223,472,2768,2.629779e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
Ragusa16.mtx,24,24,81,1.406250e-01,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
two.mtx,2,2,1,2.500000e-01,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
one.mtx,2,2,4,1.000000e+00,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
impcol_a.mtx,207,207,572,1.334920e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
GD99_cc.mtx,105,105,149,1.351474e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
arrowc.mtx,100,100,298,2.980000e-02,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING,PENDING
